% R,Z,IsoLevel
6.052789247,4.667857143,45
6.049695159,4.695905987,45
6.049640789,4.696428571,45
6.05233392,4.671858149,45
6.045910137,4.725,45
6.030060361,4.813649035,45
6.0291931,4.817857143,45
6.042101496,4.75,45
6.037771268,4.775,45
6.025189974,4.835714286,45
6.020898481,4.853571429,45
6.033633319,4.796428571,45
6.033568864,4.796731396,45
6.017252539,4.867857143,45
6.014075906,4.879922205,45
6.013491637,4.882142857,45
6.01714318,4.868265583,45
6.010555168,4.892857143,45
6.007508218,4.903571429,45
6.005414547,4.910714286,45
6.00327026,4.917857143,45
6.002178938,4.921428571,45
6.001074722,4.925,45
5.999142202,4.928556996,45
5.999037955,4.92875,45
5.997015726,4.9325,45
5.994981903,4.93625,45
5.992936313,4.94,45
6.000957224,4.925215375,45
5.990878778,4.94375,45
5.988809122,4.9475,45
5.986727164,4.95125,45
5.984632724,4.955,45
5.982632357,4.95859228,45
5.982545108,4.95875,45
5.98448798,4.955259795,45
5.980476323,4.9625,45
5.978394835,4.96625,45
5.976300459,4.97,45
5.974193007,4.97375,45
5.972072287,4.9775,45
5.96576845,4.988547901,45
5.965653595,4.98875,45
5.96353027,4.9925,45
5.969938108,4.98125,45
5.967790276,4.985,45
5.961393046,4.99625,45
5.959241721,5,45
5.96766241,4.985224042,45
0.016666667,2.487454848,45
0,2.487454147,45
0.033333333,2.487456952,45
0.05,2.487460461,45
0.066666667,2.487465376,45
0.083333333,2.487471699,45
0.1,2.487479435,45
0.116666667,2.487488587,45
0.133333333,2.487499161,45
0.15,2.487511161,45
0.166666667,2.487524596,45
0.183333333,2.487539471,45
0.2,2.487555795,45
0.216666667,2.487573577,45
0.233333333,2.487592827,45
0.25,2.487613554,45
0.266666667,2.487635771,45
0.283333333,2.487659489,45
0.3,2.48768472,45
0.316666667,2.487711479,45
0.333333333,2.48773978,45
0.35,2.487769638,45
0.366666667,2.487801069,45
0.383333333,2.48783409,45
0.4,2.487868719,45
0.416666667,2.487904974,45
0.433333333,2.487942874,45
0.45,2.487982441,45
0.466666667,2.488023694,45
0.483333333,2.488066656,45
0.5,2.48811135,45
0.516666667,2.488157798,45
0.533333333,2.488206027,45
0.55,2.488256062,45
0.566666667,2.488307928,45
0.583333333,2.488361653,45
0.6,2.488417265,45
0.616666667,2.488474794,45
0.633333333,2.488534269,45
0.65,2.488595722,45
0.666666667,2.488659184,45
0.683333333,2.488724689,45
0.7,2.488792271,45
0.716666667,2.488861964,45
0.733333333,2.488933805,45
0.75,2.48900783,45
0.766666667,2.489084077,45
0.783333333,2.489162586,45
0.8,2.489243397,45
0.816666667,2.489326551,45
0.833333333,2.48941209,45
0.85,2.489500057,45
0.866666667,2.489590498,45
0.883333333,2.489683457,45
0.9,2.489778982,45
0.916666667,2.48987712,45
0.933333333,2.48997792,45
0.95,2.490081433,45
0.966666667,2.490187711,45
0.983333333,2.490296804,45
1,2.490408769,45
1.016666667,2.490523659,45
1.033333333,2.490641532,45
1.05,2.490762445,45
1.066666667,2.490886456,45
1.083333333,2.491013627,45
1.1,2.491144018,45
1.116666667,2.491277694,45
1.133333333,2.491414717,45
1.15,2.491555154,45
1.166666667,2.491699073,45
1.183333333,2.491846541,45
1.2,2.491997628,45
1.216666667,2.492152407,45
1.233333333,2.49231095,45
1.25,2.492473331,45
1.266666667,2.492639627,45
1.283333333,2.492809914,45
1.3,2.492984273,45
1.316666667,2.493162784,45
1.333333333,2.493345528,45
1.35,2.493532591,45
1.366666667,2.493724057,45
1.383333333,2.493920014,45
1.4,2.494120551,45
1.416666667,2.494325758,45
1.433333333,2.494535728,45
1.45,2.494750555,45
1.466666667,2.494970335,45
1.483333333,2.495195166,45
1.5,2.495425148,45
1.516666667,2.495660381,45
1.533333333,2.49590097,45
1.55,2.496147019,45
1.566666667,2.496398636,45
1.583333333,2.49665593,45
1.6,2.496919013,45
1.616666667,2.497187998,45
1.633333333,2.497462999,45
1.65,2.497744135,45
1.666666667,2.498031525,45
1.683333333,2.498325289,45
1.7,2.498625554,45
1.716666667,2.498932443,45
1.733333333,2.499246086,45
1.75,2.499566613,45
1.766666667,2.499894157,45
1.783333333,2.500228852,45
1.8,2.500570837,45
1.816666667,2.50092025,45
1.833333333,2.501277235,45
1.85,2.501641935,45
1.866666667,2.502014498,45
1.883333333,2.502395074,45
1.9,2.502783815,45
1.916666667,2.503180875,45
1.933333333,2.503586412,45
1.95,2.504000586,45
1.966666667,2.504423559,45
1.983333333,2.504855498,45
2,2.505296569,45
2.016666667,2.505746945,45
2.033333333,2.506206799,45
2.05,2.506676307,45
2.066666667,2.50715565,45
2.083333333,2.507645009,45
2.1,2.508144571,45
2.116666667,2.508654523,45
2.133333333,2.509175059,45
2.15,2.509706371,45
2.166666667,2.510248659,45
2.183333333,2.510802122,45
2.2,2.511366967,45
2.216666667,2.511943401,45
2.233333333,2.512531633,45
2.25,2.51313188,45
2.266666667,2.513744359,45
2.283333333,2.51436929,45
2.3,2.5150069,45
2.316666667,2.515657416,45
2.333333333,2.516321071,45
2.35,2.5169981,45
2.366666667,2.517688744,45
2.383333333,2.518393245,45
2.4,2.519111851,45
2.416666667,2.519844812,45
2.433333333,2.520592385,45
2.45,2.521354829,45
2.466666667,2.522132405,45
2.483333333,2.522925383,45
2.5,2.523734034,45
2.516666667,2.524558634,45
2.533333333,2.525399462,45
2.55,2.526256805,45
2.566666667,2.527130951,45
2.583333333,2.528022194,45
2.6,2.528930833,45
2.616666667,2.52985717,45
2.633333333,2.530801515,45
2.65,2.531764179,45
2.666666667,2.532745482,45
2.683333333,2.533745744,45
2.7,2.534765296,45
2.716666667,2.535804469,45
2.733333333,2.536863603,45
2.75,2.537943041,45
2.766666667,2.539043133,45
2.783333333,2.540164234,45
2.8,2.541306705,45
2.816666667,2.542470911,45
2.833333333,2.543657226,45
2.85,2.544866027,45
2.866666667,2.546097699,45
2.883333333,2.547352633,45
2.9,2.548631226,45
2.916666667,2.54993388,45
2.933333333,2.551261006,45
2.95,2.552613021,45
2.980548709,2.55515873,45
3,2.556676092,45
3.016666667,2.558003545,45
3.033333333,2.559355518,45
3.05,2.560732423,45
3.066666667,2.562134678,45
3.083333333,2.563562708,45
3.1,2.565016945,45
3.116666667,2.566497827,45
3.133333333,2.568005803,45
3.15,2.569541324,45
3.166666667,2.571104854,45
3.183333333,2.57269686,45
3.2,2.574317821,45
3.216666667,2.575968222,45
3.233333333,2.577648557,45
3.25,2.579359327,45
3.266666667,2.581101044,45
3.283333333,2.582874227,45
3.3,2.584679405,45
3.316666667,2.586517116,45
3.333333333,2.588387907,45
3.35,2.590292336,45
3.366666667,2.592230968,45
3.383333333,2.594204382,45
3.4,2.596213164,45
3.416666667,2.598257912,45
3.433333333,2.600339234,45
3.45,2.602457751,45
3.466666667,2.604614092,45
3.483333333,2.6068089,45
3.5,2.609042829,45
3.516666667,2.611316546,45
3.533333333,2.613630727,45
3.55,2.615986065,45
3.566666667,2.618383263,45
3.583333333,2.620823038,45
3.6,2.62330612,45
3.616666667,2.625833253,45
3.633333333,2.628405196,45
3.65,2.631022721,45
3.666666667,2.633686615,45
3.683333333,2.636397681,45
3.7,2.639156736,45
3.716666667,2.641964614,45
3.733333333,2.644822163,45
3.75,2.647730252,45
3.779547816,2.653015873,45
3.8,2.656445831,45
3.816666667,2.65929772,45
3.833333333,2.662199517,45
3.85,2.665152104,45
3.866666667,2.668156375,45
3.883333333,2.671213247,45
3.9,2.674323653,45
3.916666667,2.677488545,45
3.933333333,2.680708897,45
3.95,2.6839857,45
3.966666667,2.687319968,45
3.983333333,2.690712734,45
4,2.694165053,45
4.016666667,2.697678002,45
4.033333333,2.701252681,45
4.05,2.704890212,45
4.066666667,2.70859174,45
4.083333333,2.712358434,45
4.1,2.716191487,45
4.116666667,2.720092118,45
4.133333333,2.72406157,45
4.15,2.728101113,45
4.166666667,2.732212042,45
4.183333333,2.736395679,45
4.2,2.740653374,45
4.216666667,2.744986504,45
4.238833876,2.750873016,45
4.266666667,2.757830134,45
4.283333333,2.76209676,45
4.3,2.76643882,45
4.316666667,2.770857755,45
4.333333333,2.775355037,45
4.35,2.779932169,45
4.366666667,2.784590685,45
4.383333333,2.789332152,45
4.4,2.79415817,45
4.416666667,2.799070373,45
4.433333333,2.804070426,45
4.45,2.809160032,45
4.466666667,2.814340926,45
4.483333333,2.819614881,45
4.5,2.824983701,45
4.516666667,2.830449232,45
4.533333333,2.836013352,45
4.554690286,2.843293651,45
4.583333333,2.85253569,45
4.6,2.85804772,45
4.616666667,2.863659743,45
4.633333333,2.869373759,45
4.65,2.875191809,45
4.666666667,2.881115973,45
4.683333333,2.88714837,45
4.7,2.893291159,45
4.716666667,2.899546539,45
4.733333333,2.905916748,45
4.75,2.912404067,45
4.766666667,2.919010814,45
4.783333333,2.925739349,45
4.80748739,2.935714286,45
4.833333333,2.945879053,45
4.85,2.952591217,45
4.866666667,2.959428542,45
4.883333333,2.966393551,45
4.9,2.973488803,45
4.916666667,2.980716897,45
4.933333333,2.988080468,45
4.95,2.99558219,45
4.966666667,3.003224771,45
4.983333333,3.011010957,45
5.00778048,3.022698413,45
5.033333333,3.03440906,45
5.05,3.042232403,45
5.066666667,3.050204914,45
5.083333333,3.058329496,45
5.1,3.066609078,45
5.116666667,3.075046616,45
5.133333333,3.083645085,45
5.15,3.092407481,45
5.181965693,3.10968254,45
5.2,3.119087516,45
5.216666667,3.127954148,45
5.233333333,3.1369923,45
5.25,3.14620506,45
5.266666667,3.15559551,45
5.283333333,3.165166733,45
5.3,3.174921796,45
5.32718228,3.191230159,45
5.35,3.204533912,45
5.366666667,3.21447322,45
5.383333333,3.224605526,45
5.4,3.234933824,45
5.416666667,3.245461063,45
5.433333333,3.256190135,45
5.458508014,3.272777778,45
5.483333333,3.288783216,45
5.5,3.299783294,45
5.516666667,3.310994848,45
5.533333333,3.322420412,45
5.55,3.33406241,45
5.570797552,3.348888889,45
5.6,3.369387894,45
5.616666667,3.381389468,45
5.633333333,3.39361621,45
5.65,3.406069793,45
5.674788111,3.425,45
5.715226816,3.496428571,45
5.733333333,3.528587679,45
5.754908719,3.567857143,45
5.791495231,3.635714286,45
5.82666661,3.703571429,45
5.858422393,3.767857143,45
5.888419635,3.832142857,45
5.914950338,3.892857143,45
5.939622276,3.953571429,45
5.960977199,4.010714286,45
5.980427711,4.067857143,45
5.996875254,4.121428571,45
6.011522305,4.175,45
6.023504962,4.225,45
6.034174268,4.277342603,45
6.047268075,4.360246781,45
6.053780062,4.420434446,45
6.057199059,4.47054064,45
6.058679606,4.513316215,45
6.058891568,4.551196217,45
6.058135943,4.585291307,45
6.056705632,4.616503719,45
6.054745755,4.644866812,45
6.05,4.693082968,45
6.046645466,4.71924937,45
6.033333333,4.797842568,45
6.043557568,4.740336353,45
6.040282985,4.760424477,45
6.026765783,4.828677625,45
6.023445201,4.842977001,45
6.03688436,4.779565606,45
6.020140095,4.856548653,45
6.016666667,4.87003833,45
6.011473221,4.889518499,45
6.008927467,4.898596229,45
6.006673075,4.906431318,45
6.004799979,4.91277142,45
6.003070329,4.91851507,45
6.00204433,4.921866642,45
6,4.926956637,45
5.997340542,4.931901622,45
5.995530523,4.935244368,45
5.993712023,4.938585205,45
5.991884919,4.941924107,45
5.990049088,4.945261045,45
5.988204405,4.948595991,45
5.986350744,4.951928918,45
5.983333333,4.957313419,45
5.980794032,4.961928657,45
5.978946562,4.965262977,45
5.977089819,4.968595209,45
5.975223672,4.971925326,45
5.97334799,4.975253298,45
5.966666667,4.98695033,45
5.963887561,4.991874701,45
5.971462641,4.978579094,45
5.969567493,4.981902686,45
5.961996689,4.995199255,45
5.960095698,4.998521532,45
0.011183119,2.812886074,50
0.027850094,2.812887784,50
0.044517329,2.812890937,50
0.061184825,2.812895534,50
0.077852582,2.812901577,50
0.0945206,2.812909071,50
0.11118888,2.812918018,50
0.127857423,2.812928425,50
0.144526231,2.812940296,50
0.161195303,2.812953638,50
0.177864643,2.812968459,50
0.19453425,2.812984766,50
0.211204127,2.813002568,50
0.227874276,2.813021875,50
0.244544697,2.813042698,50
0.261215394,2.813065047,50
0.277886369,2.813088935,50
0.294557623,2.813114374,50
0.31122916,2.813141379,50
0.327900981,2.813169964,50
0.34457309,2.813200143,50
0.36124549,2.813231934,50
0.377918183,2.813265353,50
0.394591173,2.813300419,50
0.411264464,2.813337149,50
0.427938058,2.813375564,50
0.44461196,2.813415684,50
0.461286173,2.813457531,50
0.477960701,2.813501126,50
0.494635549,2.813546494,50
0.511310721,2.813593657,50
0.527986221,2.813642641,50
0.544662054,2.813693471,50
0.561338225,2.813746175,50
0.578014739,2.813800781,50
0.594691601,2.813857316,50
0.611368817,2.813915811,50
0.628046391,2.813976297,50
0.64472433,2.814038804,50
0.661402639,2.814103366,50
0.678081325,2.814170016,50
0.694760394,2.814238788,50
0.711439852,2.814309719,50
0.728119706,2.814382845,50
0.744799962,2.814458204,50
0.761480629,2.814535835,50
0.778161712,2.814615778,50
0.794843219,2.814698073,50
0.811525158,2.814782762,50
0.828207537,2.81486989,50
0.844890364,2.8149595,50
0.861573646,2.815051638,50
0.878257393,2.815146351,50
0.894941612,2.815243686,50
0.911626314,2.815343693,50
0.928311506,2.815446422,50
0.944997198,2.815551924,50
0.9616834,2.815660253,50
0.978370122,2.815771462,50
0.995057373,2.815885606,50
1.011745163,2.816002743,50
1.028433504,2.816122931,50
1.045122405,2.816246228,50
1.061811879,2.816372695,50
1.078501935,2.816502396,50
1.095192585,2.816635392,50
1.111883842,2.816771749,50
1.128575717,2.816911533,50
1.145268222,2.817054813,50
1.161961369,2.817201657,50
1.178655173,2.817352136,50
1.195349645,2.817506323,50
1.212044799,2.817664292,50
1.228740648,2.817826117,50
1.245437207,2.817991877,50
1.26213449,2.818161649,50
1.27883251,2.818335515,50
1.295531284,2.818513556,50
1.312230826,2.818695856,50
1.328931151,2.8188825,50
1.345632275,2.819073576,50
1.362334215,2.819269173,50
1.379036986,2.819469381,50
1.395740605,2.819674293,50
1.41244509,2.819884003,50
1.429150458,2.820098609,50
1.445856726,2.820318208,50
1.462563912,2.8205429,50
1.479272036,2.820772788,50
1.495981115,2.821007975,50
1.512691169,2.821248569,50
1.529402217,2.821494677,50
1.54611428,2.821746409,50
1.562827378,2.82200388,50
1.579541531,2.822267202,50
1.59625676,2.822536493,50
1.612973087,2.822811871,50
1.629690534,2.82309346,50
1.646409123,2.823381381,50
1.663128876,2.823675762,50
1.679849818,2.823976729,50
1.696571971,2.824284416,50
1.71329536,2.824598953,50
1.730020009,2.824920478,50
1.746745943,2.825249128,50
1.763473187,2.825585044,50
1.780201767,2.825928369,50
1.79693171,2.826279251,50
1.813663042,2.826637836,50
1.830395791,2.827004277,50
1.847129984,2.827378727,50
1.86386565,2.827761345,50
1.880602817,2.828152289,50
1.897341516,2.828551722,50
1.914081775,2.82895981,50
1.930823625,2.829376722,50
1.947567098,2.829802628,50
1.964312224,2.830237705,50
1.981059036,2.830682129,50
1.997807566,2.831136083,50
2.014557848,2.831599749,50
2.031309915,2.832073317,50
2.048063803,2.832556975,50
2.064819545,2.83305092,50
2.081577177,2.833555348,50
2.098336737,2.834070461,50
2.11509826,2.834596464,50
2.131861785,2.835133564,50
2.148627349,2.835681975,50
2.165394992,2.836241911,50
2.182164753,2.836813593,50
2.198936672,2.837397243,50
2.21571079,2.83799309,50
2.23248715,2.838601364,50
2.249265793,2.839222301,50
2.266046764,2.83985614,50
2.282830104,2.840503126,50
2.29961586,2.841163505,50
2.316404077,2.841837531,50
2.333194802,2.84252546,50
2.34998808,2.843227553,50
2.35,2.843228017,50
2.366666667,2.843894949,50
2.366775957,2.843899692,50
2.383565485,2.844580986,50
2.400357523,2.845276202,50
2.417152118,2.845985595,50
2.433949318,2.846709432,50
2.45074917,2.847447978,50
2.467551725,2.848201508,50
2.484357031,2.848970297,50
2.50116514,2.849754629,50
2.517976104,2.85055479,50
2.534789974,2.851371073,50
2.551606806,2.852203773,50
2.568426653,2.853053194,50
2.585249571,2.853919644,50
2.602075616,2.854803434,50
2.618904845,2.855704884,50
2.635737318,2.856624317,50
2.652573093,2.857562063,50
2.669412231,2.858518457,50
2.686254793,2.859493841,50
2.703100843,2.860488562,50
2.719950443,2.861502974,50
2.73680366,2.862537436,50
2.753660558,2.863592315,50
2.770521205,2.864667983,50
2.78738567,2.86576482,50
2.804254021,2.866883211,50
2.821126331,2.86802355,50
2.838002671,2.869186238,50
2.854883114,2.87037168,50
2.871767736,2.871580292,50
2.888656612,2.872812497,50
2.90554982,2.874068723,50
2.922447439,2.87534941,50
2.93934955,2.876655003,50
2.956256233,2.877985955,50
2.973167574,2.879342729,50
2.990083656,2.880725797,50
3.007004566,2.882135638,50
3.023930393,2.88357274,50
3.040861225,2.885037602,50
3.057797155,2.88653073,50
3.074738275,2.888052642,50
3.091684681,2.889603863,50
